calendar_year_month,sku,sales_usd,sales_qty,calendar_date
201604,4639-0,120631.39,5433,2016-04-01
201604,4647-0,59239.09,5344,2016-04-01
201604,4648-0,8443.32,938,2016-04-01
201604,4694-0,127513.41,9969,2016-04-01
201604,4734-0,161765.18,7222,2016-04-01
201604,4774-0,432488.43,37978,2016-04-01
201604,4775-0,150394.74,13979,2016-04-01
201604,5172-0,422950.79,1137,2016-04-01
201604,98993-0,577963.89,2285,2016-04-01
201604,98994-0,378129.04,1555,2016-04-01
201604,99042-NA,38324.3,314,2016-04-01
201604,99517-LGR-1WA,3253.9900000000002,5,2016-04-01
201604,99520-LGR-1WA,7597.9,8,2016-04-01
201604,99520-LGR-1WT,979.67,1,2016-04-01
201604,99522-LG-1WA,7987.21,6,2016-04-01
201604,99524-LG-1WA,7197.539999999999,8,2016-04-01
201604,99530-LGR-1WA,1568.4,2,2016-04-01
201604,99530-LGR-1WT,1617.26,2,2016-04-01
201604,99533-LGR-1WA,5887.96,7,2016-04-01
201604,99535-LG-1WA,3525.4800000000005,3,2016-04-01
201604,99537-LG-1WA,6329.400000000001,6,2016-04-01
201604,99541-R-1WA,2787.2200000000003,5,2016-04-01
201604,99541-R-1WT,1597.0500000000002,3,2016-04-01
201604,99543-R-1WA,2354.8,4,2016-04-01
201604,99544-1WA,5101.12,7,2016-04-01
201604,99548-1WA,1470.62,2,2016-04-01
201604,CB-CLW2026SS,179353.65,1968,2016-04-01
201605,10491-0,2298149.59,9419,2016-05-01
201605,10493-0,330653.43,1295,2016-05-01
201605,11464-0,2154849.34,17272,2016-05-01
201605,11499-0,1616137.85,10648,2016-05-01
201605,2967-BR1,44618.020000000004,467,2016-05-01
201605,3073-NA,373396.26,4324,2016-05-01
201605,3946-0,204510.99000000002,762,2016-05-01
201605,4008-0,127858.36,4770,2016-05-01
201605,4166-0,166312.35,2514,2016-05-01
201605,4167-0,115657.95,1678,2016-05-01
201605,4198-0,860366.2,10192,2016-05-01
201605,4199-0,2330966.32,23379,2016-05-01
201605,4309-0,1066998.56,8469,2016-05-01
201605,4418-0,281407.12,3583,2016-05-01
201605,4421-0,320143.61,4350,2016-05-01
201605,4434-0,532045.99,4087,2016-05-01
201605,4467-0,853688.09,15935,2016-05-01
201605,4468-0,809227.08,15010,2016-05-01
201605,45989-0,367870.24,2163,2016-05-01
201605,4636-0,744882.03,30350,2016-05-01
201605,4639-0,116428.08,5228,2016-05-01
201605,4647-0,85399.68000000001,7953,2016-05-01
201605,4648-0,33805.17,3640,2016-05-01
201605,4694-0,142305.6,11120,2016-05-01
201605,4734-0,127969.11,5705,2016-05-01
201605,4774-0,428900.49,37822,2016-05-01
201605,4775-0,164693.65,15482,2016-05-01
201605,5172-0,518373.65,1359,2016-05-01
201605,98993-0,592433.99,2408,2016-05-01
201605,98994-0,470290.39,1934,2016-05-01
201605,99042-NA,21462.68,176,2016-05-01
201605,99517-LGR-1WA,6920.54,10,2016-05-01
201605,99520-LGR-1WA,3810.3199999999997,4,2016-05-01
201605,99522-LG-1WA,6980.26,5,2016-05-01
201605,99522-LG-1WT,2790.14,2,2016-05-01
201605,99524-LG-1WA,10474.14,10,2016-05-01
201605,99524-LG-1WT,2403.06,2,2016-05-01
201605,99530-LGR-1WA,5264.400000000001,7,2016-05-01
201605,99533-LGR-1WA,7407.45,9,2016-05-01
201605,99533-LGR-1WT,0.0,1,2016-05-01
201605,99535-LG-1WA,2350.32,2,2016-05-01
201605,99537-LG-1WA,2054.8,2,2016-05-01
201605,99541-R-1WA,1529.5500000000002,3,2016-05-01
201605,99541-R-1WT,562.35,1,2016-05-01
201605,99543-R-1WA,1132.4,2,2016-05-01
201605,99543-R-1WT,1167.8400000000001,2,2016-05-01
201605,99544-1WA,6832.8,9,2016-05-01
201605,99544-1WT,1613.4,4,2016-05-01
201605,99548-1WA,735.31,2,2016-05-01
201605,CB-CLW2026SS,108328.58,1174,2016-05-01
201606,10491-0,1391826.44,5692,2016-06-01
201606,10493-0,175393.52,691,2016-06-01
201606,11464-0,5999601.8,47789,2016-06-01
201606,11499-0,1657340.6300000001,10973,2016-06-01
201606,2967-BR1,45475.7,501,2016-06-01
